a,b,count_a,count_b,family_obs_a,family_obs_b,family_cosine,shared_min_count,shared_families
char,cthey,79,47,75,50,0.27368617561527414,14,14
dar,ckhy,287,38,242,27,0.27319511070500424,16,13
char,cho,79,77,75,59,0.2730773068396801,12,8
y,oty,210,114,176,79,0.273009453115974,27,20
dol,chckhy,97,141,89,153,0.27298839851376855,25,20
chey,dol,510,97,580,89,0.27297842797381694,45,31
char,sol,79,63,75,69,0.27251714767168833,14,10
chl,o,33,114,28,83,0.2723072429589437,4,4
chor,lor,215,38,199,39,0.27214111454015216,22,9
s,cthor,328,45,291,42,0.27197797091644493,24,17
chckhy,air,141,95,153,70,0.2715263183467852,22,17
chor,ckhy,215,38,199,27,0.2712037545029648,12,10
chey,cho,510,77,580,59,0.27107492299145286,44,38
dy,ches,204,44,144,43,0.2709252317170406,15,13
ol,shy,588,94,609,77,0.27087405863712505,50,35
qo,shy,51,94,59,77,0.27071052979089927,14,13
o,qol,114,147,83,132,0.27070118727358383,21,13
cthy,qo,100,51,67,59,0.2706828253753317,12,11
y,sal,210,48,176,44,0.27024332854285127,21,16
dal,o,190,114,139,83,0.2701249800584219,20,13
cho,dal,77,190,59,139,0.2698803015842455,22,18
cho,l,77,156,59,137,0.2698190730452223,28,21
ckhy,shy,38,94,27,77,0.26980261042033477,9,8
ckhy,cheo,38,75,27,62,0.26978130937338496,8,5
r,key,196,33,176,36,0.2695759059580906,11,10
s,oty,328,114,291,79,0.26950412250343764,23,18
tol,sar,42,77,48,48,0.2694206501818906,9,8
chal,chl,59,33,57,28,0.2689719137957695,11,11
chy,sor,197,43,157,45,0.26888472683451664,16,14
y,cthey,210,47,176,50,0.26855499156784834,19,17
sho,qol,118,147,124,132,0.26855181073101014,29,22
she,ches,41,44,39,43,0.26851240671098203,8,8
chdy,sheo,108,46,113,33,0.26841204917549644,13,12
ckhey,chcthy,32,84,32,94,0.2683281572999747,12,12
s,she,328,41,291,39,0.26823285181300005,13,13
she,tol,41,42,39,48,0.2681908490389131,9,9
cho,sal,77,48,59,44,0.2681113792226244,13,12
she,sheo,41,46,39,33,0.2677264489518962,7,6
chy,ody,197,38,157,24,0.26760278996477393,8,7
chal,she,59,41,57,39,0.26752262216258416,11,11
chl,l,33,156,28,137,0.26742002670229836,9,9
shar,kol,34,35,24,33,0.2672612419124244,7,6
dy,tar,204,43,144,35,0.2672287816898097,14,10
ol,oty,588,114,609,79,0.26678453444789296,46,33
oky,qo,103,51,90,59,0.2665001560874174,15,14
sho,chdy,118,108,124,113,0.2664693550105965,25,18
sho,she,118,41,124,39,0.2657887169768753,14,11
kchy,chey,36,510,36,580,0.2656622056422449,22,17
d,tol,53,42,32,48,0.26562660124542986,6,5
d,cthor,53,45,32,42,0.26562660124542986,6,4
al,key,311,33,245,36,0.2654477725207054,18,18
chey,air,510,95,580,70,0.26539831602088576,42,34
kchy,ol,36,588,36,609,0.26534358168333566,19,14
chy,shckhy,197,55,157,64,0.26524820187730025,29,25
shey,shor,344,91,374,85,0.2652429646547979,47,34
s,dol,328,97,291,89,0.2649451735210779,37,23
r,dy,196,204,176,144,0.2645947508218107,39,29
she,dal,41,190,39,139,0.26437254032742413,14,13
s,dy,328,204,291,144,0.264199279891943,48,31
chckhy,sol,141,63,153,69,0.2641004431690698,19,13
cthol,cheo,55,75,43,62,0.2638095454945497,10,9
shol,chos,176,42,181,43,0.2637664789505229,16,11
ain,shckhy,149,55,107,64,0.26373268162137864,17,14
chol,chcthy,367,84,362,94,0.26373069940309896,51,42
d,sol,53,63,32,69,0.26342025989786655,9,7
dy,lor,204,38,144,39,0.263237999294292,14,8
dor,ches,63,44,68,43,0.26319480280227187,12,10
y,kar,210,58,176,47,0.2631253320244039,18,15
sal,chckhy,48,141,44,153,0.263032692556701,16,15
shey,kal,344,30,374,27,0.26288780973035064,19,17
cheo,sol,75,63,62,69,0.2627808630703034,11,8
she,o,41,114,39,83,0.2626492544999753,8,8
ckhey,she,32,41,32,39,0.26263966158357477,5,5
d,l,53,156,32,137,0.262441050539787,13,8
kol,oly,35,65,33,33,0.26226526415648105,6,6
shor,cthor,91,45,85,42,0.26223765962371925,16,13
cthol,oly,55,65,43,33,0.2620278880446881,7,7
or,am,390,115,406,38,0.2619427844033329,24,18
kol,ody,35,38,33,24,0.26190476190476186,5,5
dal,ches,190,44,139,43,0.26186652906957164,13,11
shol,d,176,53,181,32,0.2616061181802521,15,9
sho,key,118,33,124,36,0.26157418189029846,13,13
dor,lor,63,38,68,39,0.2615388888749735,12,7
ckhey,shckhy,32,55,32,64,0.26098507150250916,9,8
shor,qol,91,147,85,132,0.2609756097560975,18,12
cthy,ain,100,149,67,107,0.2603608446155401,19,15
r,cthor,196,45,176,42,0.26016979628874704,16,12
shol,cho,176,77,181,59,0.2600044983866367,23,17
dy,o,204,114,144,83,0.25999570258588595,22,16
cthy,char,100,79,67,75,0.2599156841017891,12,10
dor,chl,63,33,68,28,0.25991373003137697,7,7
sal,tar,48,43,44,35,0.2599133167256224,9,7
dal,kal,190,30,139,27,0.25967107005597595,13,12
dol,lor,97,38,89,39,0.2593207294469636,8,4
cthy,dol,100,97,67,89,0.2591233258917777,15,11
dar,shcthy,287,30,242,33,0.2590095632952704,21,17
kal,oly,30,65,27,33,0.25883878884437284,6,5
cthor,sheo,45,46,42,33,0.2586976028731272,8,8
ches,l,44,156,43,137,0.25848695412768696,22,16
cthy,ol,100,588,67,609,0.25823218021857297,44,22
dy,sar,204,77,144,48,0.25788512260032825,14,9
chal,lor,59,38,57,39,0.2578417006448509,8,7
chey,cheo,510,75,580,62,0.25776771247366176,46,29
chey,oly,510,65,580,33,0.2569445179867327,18,16
chor,kar,215,58,199,47,0.2568904991675655,17,12
ches,chl,44,33,43,28,0.25675188966532514,5,5
shey,l,344,156,374,137,0.25669800633498097,62,42
or,oty,390,114,406,79,0.2561232056224257,27,24
dol,shckhy,97,55,89,64,0.25604463383529635,12,10
sal,kar,48,58,44,47,0.25600819239323697,9,8
shol,am,176,115,181,38,0.2560001218323297,18,12
sho,shcthy,118,30,124,33,0.2555622163859946,11,6
cthol,oty,55,114,43,79,0.2549338850967178,11,10
chol,air,367,95,362,70,0.2547815153470121,32,24
d,dy,53,204,32,144,0.25425351984652944,12,8
shol,tar,176,43,181,35,0.25408936126640946,18,12
cthor,lor,45,38,42,39,0.2538581241397752,6,5
ckhy,chckhy,38,141,27,153,0.2538104854868824,10,10
cthy,sheo,100,46,67,33,0.25378685904948123,6,6
ar,chol,449,367,388,362,0.2533901859164823,118,69
chey,sheo,510,46,580,33,0.25315636453167983,19,18
chl,qol,33,147,28,132,0.25310570914145725,6,6
dy,cheo,204,75,144,62,0.25306123416824094,16,10
chal,sal,59,48,57,44,0.25269208948866173,11,10
chor,ody,215,38,199,24,0.2526791795090808,12,12
kchy,chcthy,36,84,36,94,0.25215418055077093,13,11
shy,shcthy,94,30,77,33,0.2521390284202071,9,7
kol,she,35,41,33,39,0.2519763153394849,7,7
or,key,390,33,406,36,0.25187542842292393,15,14
dor,shckhy,63,55,68,64,0.25161336605701684,9,7
r,oty,196,114,176,79,0.25156783677072403,18,15
sal,oty,48,114,44,79,0.2513950543223199,10,9
ckhey,al,32,311,32,245,0.25110664159783874,20,14
shey,air,344,95,374,70,0.2508273406464361,35,28
chos,oty,42,114,43,79,0.25048971643405976,9,7
cthol,al,55,311,43,245,0.25003881491818414,23,16
kchy,qo,36,51,36,59,0.24989193861608827,11,10
shor,sor,91,43,85,45,0.24969750094026716,12,10
chol,char,367,79,362,75,0.24958846107233496,36,25
shy,sheo,94,46,77,33,0.2492804621225318,9,8
chos,chl,42,33,43,28,0.24926362137539532,4,4
dol,qo,97,51,89,59,0.24922168241484152,13,11
ain,sar,149,77,107,48,0.24910079157436515,19,13
chy,qol,197,147,157,132,0.24901402476562068,33,29
ckhy,dor,38,63,27,68,0.24852506087385423,9,8
or,oky,390,103,406,90,0.2481553752209983,36,28
shol,sar,176,77,181,48,0.24808649853458117,19,12
cthy,oly,100,65,67,33,0.24782177119435198,6,6
cthor,oly,45,65,42,33,0.24756474949140925,8,8
dal,cthey,190,47,139,50,0.2472978670940745,17,16
sho,shckhy,118,55,124,64,0.2469700275028541,15,11
chcthy,sheo,84,46,94,33,0.24693239916239743,11,10
oky,dol,103,97,90,89,0.24629866402038494,19,17
ckhy,shckhy,38,55,27,64,0.2462659137386694,6,6
cthol,ckhy,55,38,43,27,0.24586305592102298,6,5
char,she,79,41,75,39,0.24576957615571215,12,12
d,qo,53,51,32,59,0.24552350319036517,7,6
kol,ain,35,149,33,107,0.24541591153923814,11,10
al,oly,311,65,245,33,0.24529765626874664,14,13
oky,sor,103,43,90,45,0.24487696223081765,9,8
chey,ches,510,44,580,43,0.2448067279392941,29,21
s,ain,328,149,291,107,0.24469621678399117,50,30
or,she,390,41,406,39,0.24459781926988972,11,11
oky,qol,103,147,90,132,0.24418870583837074,22,19
sal,qol,48,147,44,132,0.24392702472467181,16,12
chol,chl,367,33,362,28,0.24371072194454224,15,15
tol,lor,42,38,48,39,0.24328070230061782,6,5
oly,chos,65,42,33,43,0.24315671600215616,5,5
chor,chcthy,215,84,199,94,0.24311755438757743,35,29
ckhy,kal,38,30,27,27,0.24287069628756652,5,5
ckhey,dar,32,287,32,242,0.24285714285714285,14,13
d,oly,53,65,32,33,0.24251094575618395,4,4
cthol,sol,55,63,43,69,0.24192696140331477,10,7
chol,sheo,367,46,362,33,0.241887858963713,15,14
dy,air,204,95,144,70,0.24188190563210674,18,17
chy,cho,197,77,157,59,0.24162260788043846,21,18
chdy,tar,108,43,113,35,0.24138828005220678,13,13
chal,chos,59,42,57,43,0.2412030016263346,9,9
s,chol,328,367,291,362,0.2411348718725097,84,38
shey,dol,344,97,374,89,0.24098087255930456,44,24
cthol,qo,55,51,43,59,0.24090860909235454,8,7
shckhy,air,55,95,64,70,0.24078203063740672,10,8
cho,dy,77,204,59,144,0.2407685925094365,21,18
chos,sol,42,63,43,69,0.24053941310619656,8,6
am,cthor,115,45,38,42,0.24044523591131534,8,8
sal,dor,48,63,44,68,0.24007826048498285,14,10
kal,cthey,30,47,27,50,0.24000768036865966,8,8
sho,tol,118,42,124,48,0.2397035379720598,13,8
dol,sar,97,77,89,48,0.23959245910031393,11,8
sheo,dy,46,204,33,144,0.23936715401002315,13,12
oty,sar,114,77,79,48,0.2392930532541626,8,6
al,shcthy,311,30,245,33,0.2391140499294052,20,18
kol,chcthy,35,84,33,94,0.23904572186687872,13,13
chcthy,ody,84,38,94,24,0.23904572186687872,10,9
ckhey,ckhy,32,38,32,27,0.2390457218668787,5,4
kol,oty,35,114,33,79,0.239000546448944,9,9
kal,sol,30,63,27,69,0.23898250734194243,7,7
she,l,41,156,39,137,0.2388562285974099,14,13
she,cheo,41,75,39,62,0.2383707678932896,7,7
char,cthol,79,55,75,43,0.23832201324190266,8,7
tar,oty,43,114,35,79,0.23830218749379972,10,8
chey,ody,510,38,580,24,0.2382633773732737,15,13
dor,kar,63,58,68,47,0.23816525581123343,11,8
oky,o,103,114,90,83,0.23814683613613727,16,14
chol,kar,367,58,362,47,0.2380221153509196,32,27
oty,sol,114,63,79,69,0.23778277701823533,17,14
kol,cheo,35,75,33,62,0.23764368207973544,10,9
sal,l,48,156,44,137,0.23762237570548445,22,19
kar,qol,58,147,47,132,0.23758365480680457,13,10
cho,dol,77,97,59,89,0.23749016662636546,15,14
char,kol,79,35,75,33,0.23739109685200913,10,10
kchy,qol,36,147,36,132,0.23729439604423078,7,4
cthol,chcthy,55,84,43,94,0.23717082451262841,12,11
chey,sor,510,43,580,45,0.2371533098807831,29,16
ar,she,449,41,388,39,0.23711790231526939,16,16
chl,lor,33,38,28,39,0.23704991151750868,3,3
oly,sol,65,63,33,69,0.23674027474281162,8,7
cthor,sol,45,63,42,69,0.23673666586965325,10,7
ol,key,588,33,609,36,0.2364934672216252,21,20
shckhy,key,55,33,64,36,0.2363450593737204,9,9
chy,o,197,114,157,83,0.23621744258332586,22,18
chy,kal,197,30,157,27,0.2361587940180925,14,13
ckhy,sal,38,48,27,44,0.23613633490760047,7,7
qo,oty,51,114,59,79,0.23605330938252597,14,14
cthor,ches,45,44,42,43,0.23587004988848326,8,8
kchy,sol,36,63,36,69,0.23577655583010976,7,5
she,sor,41,43,39,45,0.2357224706643972,7,7
am,oty,115,114,38,79,0.2357022603955158,10,10
chdy,dor,108,63,113,68,0.23564892805850654,17,17
cthor,qol,45,147,42,132,0.2352426064271599,11,10
chl,sol,33,63,28,69,0.23521876807019246,7,7
d,cthol,53,55,32,43,0.23486593986243354,5,3
chol,ody,367,38,362,24,0.23480560027860983,9,9
shar,qol,34,147,24,132,0.2345857792042775,14,11
chor,shckhy,215,55,199,64,0.23375884144210646,20,16
shey,sal,344,48,374,44,0.2336182030337799,27,23
dol,kar,97,58,89,47,0.23338339875190026,9,8
shar,oty,34,114,24,79,0.23328473740792172,9,7
ckhey,shcthy,32,30,32,33,0.2331086069657434,6,6
lor,key,38,33,39,36,0.23306991177746142,4,4
r,air,196,95,176,70,0.2326523411148637,26,19
sho,sheo,118,46,124,33,0.23245165326781791,13,12
sho,chal,118,59,124,57,0.23227468205581647,14,13
sho,cthey,118,47,124,50,0.23204774044612855,18,17
kchy,l,36,156,36,137,0.2318637945270525,10,7
shey,kar,344,58,374,47,0.2317566737417326,19,17
char,shey,79,344,75,374,0.23171944440380973,33,26
chal,oty,59,114,57,79,0.23168138687982368,14,14
am,ody,115,38,38,24,0.23145502494313788,7,7
oly,tar,65,43,33,35,0.23132597278649608,6,6
y,key,210,33,176,36,0.2301271021944891,19,19
shy,sol,94,63,77,69,0.23008549241664905,12,10
shy,oly,94,65,77,33,0.23003312289453753,7,7
cthy,oty,100,114,67,79,0.229765912255939,13,12
kchy,tol,36,42,36,48,0.22971145943688337,7,5
cthor,ody,45,38,42,24,0.22956556456066263,5,5
she,shor,41,91,39,85,0.2294842400385757,15,15
ckhey,key,32,33,32,36,0.2294157338705618,8,8
chy,kar,197,58,157,47,0.22937381996980627,18,18
kchy,ain,36,149,36,107,0.22920042107430322,8,5
d,she,53,41,32,39,0.2290810644963638,5,5
chol,chos,367,42,362,43,0.22891635852972222,19,14
chckhy,chl,141,33,153,28,0.22882875810569137,19,19
chor,oty,215,114,199,79,0.22882733745498784,27,22
kchy,sor,36,43,36,45,0.22882177628141467,8,6
chos,key,42,33,43,36,0.2287399865002807,4,4
shy,qol,94,147,77,132,0.22853730409510245,18,13
chey,dor,510,63,580,68,0.2281306179048138,37,24
ckhey,sho,32,118,32,124,0.22803508501982758,9,7
chdy,cthol,108,55,113,43,0.22785473264891046,12,11
chor,cthey,215,47,199,50,0.2278057306517931,18,16
oty,key,114,33,79,36,0.22745655424126848,8,8
s,key,328,33,291,36,0.22745491626055186,8,8
sho,cho,118,77,124,59,0.2273970134135488,15,14
or,cthol,390,55,406,43,0.22719560287914656,21,14
cthol,sheo,55,46,43,33,0.2271618354743361,5,5
qo,kar,51,58,59,47,0.2270302060609178,10,10
sor,oty,43,114,45,79,0.22682405315355555,11,9
shckhy,shcthy,55,30,64,33,0.2268078354749303,10,8
dol,o,97,114,89,83,0.22657884013410354,15,10
sheo,chckhy,46,141,33,153,0.2264183843481138,12,11
she,sar,41,77,39,48,0.22607330516426988,7,7
chol,d,367,53,362,32,0.22592568219561512,16,10
am,chcthy,115,84,38,94,0.22592402852876597,10,9
char,qo,79,51,75,59,0.22577986573576764,14,13
shar,l,34,156,24,137,0.22519581195983024,14,11
chal,shcthy,59,30,57,33,0.2250757317768682,9,9
sar,key,77,33,48,36,0.22462783866629302,5,5
tol,sal,42,48,48,44,0.22439708538128578,9,8
tol,ckhy,42,38,48,27,0.22399601788396722,8,7
chey,sol,510,63,580,69,0.22391942365610412,37,23
ar,sal,449,48,388,44,0.2237040275455735,31,26
al,ody,311,38,245,24,0.22370357628632148,14,14
qo,sar,51,77,59,48,0.22366140925347977,6,5
cthol,ody,55,38,43,24,0.2233426431418161,3,3
shol,air,176,95,181,70,0.22311410602250162,23,21
cthy,sol,100,63,67,69,0.2230903714447436,10,7
kol,am,35,115,33,38,0.22288261661191056,8,8
cho,cthey,77,47,59,50,0.22271770159368695,12,12
ar,chy,449,197,388,157,0.22270054399032782,64,49
r,she,196,41,176,39,0.22237167129616914,7,7
ol,cthey,588,47,609,50,0.2222080659814516,30,27
kal,oty,30,114,27,79,0.2222039345850911,8,8
shol,sheo,176,46,181,33,0.22213805280900575,13,12
s,air,328,95,291,70,0.2220374908062604,29,22
chy,key,197,33,157,36,0.22150502714250297,15,15
chal,cho,59,77,57,59,0.22107772248157992,10,10
cho,cthor,77,45,59,42,0.22086305214969312,10,9
shor,lor,91,38,85,39,0.22076171557535207,8,5
chol,o,367,114,362,83,0.2207382535793904,36,21
oly,cheo,65,75,33,62,0.22072142786315227,6,6
kar,l,58,156,47,137,0.2206824120521571,19,16
cthey,shckhy,47,55,50,64,0.22064900595174514,8,6
shey,cthor,344,45,374,42,0.2206144845471733,28,17
d,oty,53,114,32,79,0.2204333570887027,6,4
sho,sol,118,63,124,69,0.22005387394931467,15,12
sar,air,77,95,48,70,0.22004311471167604,12,10
chol,cho,367,77,362,59,0.21937144010582363,42,34
shar,sho,34,118,24,124,0.21926450482675733,6,5
shar,ain,34,149,24,107,0.21913076617154156,9,7
chal,cthey,59,47,57,50,0.218963936481449,11,11
cthey,kar,47,58,50,47,0.218866384652979,8,8
shey,dor,344,63,374,68,0.21880718480771433,32,19
sho,air,118,95,124,70,0.21878558651596058,15,14
chy,oly,197,65,157,33,0.21864677801265167,9,9
chy,sal,197,48,157,44,0.21837086459073196,16,14
s,cthol,328,55,291,43,0.2183548421783513,22,13
cho,oky,77,103,59,90,0.21824283369955172,16,15
chol,am,367,115,362,38,0.21771862364433708,24,19
oky,tar,103,43,90,35,0.21754333563834685,11,10
qo,ches,51,44,59,43,0.21734815342727185,10,10
r,dol,196,97,176,89,0.21731047924924551,24,18
shor,shckhy,91,55,85,64,0.21708015107935805,12,12
qo,tar,51,43,59,35,0.21693487339124318,8,8
she,chos,41,42,39,43,0.21693045781865622,4,4
chor,shey,215,344,199,374,0.2168612223209784,62,33
d,key,53,33,32,36,0.21677749238103,3,3
sho,dol,118,97,124,89,0.21650916892010375,19,14
cho,key,77,33,59,36,0.21629522817435004,8,8
kal,tar,30,43,27,35,0.21621937503220529,7,7
chor,kal,215,30,199,27,0.21612755289541935,13,11
chal,shckhy,59,55,57,64,0.21599278201278657,11,9
y,ody,210,38,176,24,0.215961357416256,9,9
chor,shcthy,215,30,199,33,0.21579849198508744,14,11
dal,key,190,33,139,36,0.2157746612868186,12,11
chor,cho,215,77,199,59,0.2154140204831266,21,15
shckhy,sol,55,63,64,69,0.21539855088958348,9,7
shol,lor,176,38,181,39,0.21534561174163397,12,6
cheo,qol,75,147,62,132,0.21534520157370948,15,12
shar,chdy,34,108,24,113,0.21520711550527918,10,10
ain,chy,149,197,107,157,0.21493303406066708,29,25
chol,shckhy,367,55,362,64,0.21490920922784104,35,28
r,oky,196,103,176,90,0.21484815347259686,23,17
char,shckhy,79,55,75,64,0.21484126324582217,12,11
shar,tol,34,42,24,48,0.21473892259683341,6,5
tol,chl,42,33,48,28,0.2147389225968333,5,5
cthey,shor,47,91,50,85,0.21466285047213526,15,15
cthey,qol,47,147,50,132,0.21466285047213518,12,11
sheo,shcthy,46,30,33,33,0.21452116007007208,6,5
dol,chcthy,97,84,89,94,0.21403780680318313,16,14
shey,sor,344,43,374,45,0.2139577892655009,27,18
oky,shckhy,103,55,90,64,0.21367198836462736,13,11
oky,chos,103,42,90,43,0.2130458302353807,7,6
chal,chcthy,59,84,57,94,0.2128170479318115,13,13
cthy,sor,100,43,67,45,0.2128087782688666,8,7
chckhy,ches,141,44,153,43,0.21233742084242685,17,16
chckhy,tar,141,43,153,35,0.2119336685420175,15,14
cheo,key,75,33,62,36,0.21183801892103274,4,4
chy,ches,197,44,157,43,0.21171294713066222,16,15
shor,ody,91,38,85,24,0.21118547093938184,6,6
sho,cthy,118,100,124,67,0.211158110385937,16,11
shy,ody,94,38,77,24,0.21115394209236654,5,5
sho,kar,118,58,124,47,0.21096325392232293,11,11
or,chckhy,390,141,406,153,0.21089636910579312,56,45
chdy,sor,108,43,113,45,0.21006765719407836,14,14
she,cthey,41,47,39,50,0.20999097578833348,7,6
d,oky,53,103,32,90,0.20998026278290405,8,6
chdy,chos,108,42,113,43,0.20971862209276668,10,10
shy,l,94,156,77,137,0.20969082564869232,21,20
chol,r,367,196,362,176,0.20944319436503356,61,33
kal,shckhy,30,55,27,64,0.20933770879561553,7,7
chal,key,59,33,57,36,0.20885239351824167,10,10
y,chcthy,210,84,176,94,0.20872375425442627,31,29
cthor,kar,45,58,42,47,0.20869596778242056,7,7
tol,cho,42,77,48,59,0.20859288258582126,8,8
sor,key,43,33,45,36,0.20819138611089075,3,3
dal,sheo,190,46,139,33,0.20773052250749832,13,12
dal,ody,190,38,139,24,0.2076533735692877,8,8
chy,air,197,95,157,70,0.20734030559695985,23,22
oly,qol,65,147,33,132,0.20690095457277846,7,6
chdy,cho,108,77,113,59,0.2068776302780584,12,11
tol,cthey,42,47,48,50,0.20659846763533432,9,8
cthol,cthey,55,47,43,50,0.20652005056869158,6,6
shar,chy,34,197,24,157,0.20561958020749357,12,11
oty,lor,114,38,79,39,0.20540046934060868,7,5
dol,kal,97,30,89,27,0.20474156690552384,6,6
char,sheo,79,46,75,33,0.20470804941869772,7,7
oty,air,114,95,79,70,0.20446469923775268,14,14
she,air,41,95,39,70,0.20431341198119837,8,8
s,oky,328,103,291,90,0.2040381524277649,33,24
cthey,air,47,95,50,70,0.20385887657505025,11,11
ar,kal,449,30,388,27,0.20381224106474138,18,17
kol,kal,35,30,33,27,0.20365326999063918,9,9
tol,chos,42,42,48,43,0.20362567282674932,7,6
char,air,79,95,75,70,0.20308781691398814,13,12
chey,am,510,115,580,38,0.20276364815030418,21,17
chey,chl,510,33,580,28,0.20261361953327653,21,19
chdy,l,108,156,113,137,0.20240738936575567,23,22
cthey,l,47,156,50,137,0.20215053892929538,17,16
dor,oty,63,114,68,79,0.20211302086361074,19,16
shar,sal,34,48,24,44,0.2020559647801218,4,3
cthol,ches,55,44,43,43,0.20193908273305256,5,5
shor,tar,91,43,85,35,0.20179470474520023,8,6
ar,cthol,449,55,388,43,0.20170418963182,18,14
chy,tar,197,43,157,35,0.20090975118662743,15,14
shcthy,key,30,33,33,36,0.20054543301971392,5,5
kar,chl,58,33,47,28,0.20044593143431824,7,7
cthor,oty,45,114,42,79,0.20038125267704918,12,11
she,dor,41,63,39,68,0.2000400120040014,8,8
ain,ckhy,149,38,107,27,0.19955151307702235,11,10
al,ches,311,44,245,43,0.19929093506019976,19,15
kchy,kal,36,30,36,27,0.19925419255468715,4,4
sho,ckhy,118,38,124,27,0.19917411897716444,8,7
chal,ody,59,38,57,24,0.19906827984171396,6,6
dol,shy,97,94,89,77,0.19901467653325913,15,15
chol,shcthy,367,30,362,33,0.19872183893350492,14,12
qo,sheo,51,46,59,33,0.19865262781744858,8,8
tol,kal,42,30,48,27,0.19834087593950483,7,7
kal,cthor,30,45,27,42,0.19834087593950483,4,4
qo,cthey,51,47,59,50,0.1983074448845257,12,12
am,shckhy,115,55,38,64,0.19826289642953604,7,5
ar,chcthy,449,84,388,94,0.19817005626249912,49,41
oly,chl,65,33,33,28,0.19814848097530421,6,6
tol,ches,42,44,48,43,0.19813084190632596,6,6
ol,chcthy,588,84,609,94,0.19809050842109382,60,47
chol,ches,367,44,362,43,0.19776217565538562,23,17
kal,sor,30,43,27,45,0.197572692511491,6,6
cthor,o,45,114,42,83,0.19754591932991794,7,7
sor,shy,43,94,45,77,0.19753336282213718,10,10
dar,ody,287,38,242,24,0.1972642499829799,13,13
cho,sol,77,63,59,69,0.19712567225455271,11,9
kol,sheo,35,46,33,33,0.19676044536698512,4,4
ckhey,kar,32,58,32,47,0.19599157740244455,7,7
d,al,53,311,32,245,0.1954016841836789,14,11
tar,key,43,33,35,36,0.19529164171612673,3,3
cthor,chl,45,33,42,28,0.19521720236075757,6,6
ar,shor,449,91,388,85,0.19518359926172893,40,29
y,shcthy,210,30,176,33,0.19485952173869991,14,13
or,chey,390,510,406,580,0.19485000233767763,102,65
she,cthol,41,55,39,43,0.19480519480519481,6,6
tol,kar,42,58,48,47,0.19478290326359252,8,8
shey,sheo,344,46,374,33,0.19461136390555855,14,13
kchy,dor,36,63,36,68,0.19418390934515434,7,6
shey,am,344,115,374,38,0.19380063324460373,24,18
sal,air,48,95,44,70,0.1937437918785931,10,10
r,chey,196,510,176,580,0.1935653780422645,72,44
or,chdy,390,108,406,113,0.19343771600148418,46,40
shor,air,91,95,85,70,0.19311887588148782,13,13
shey,sol,344,63,374,69,0.19300473405743984,36,22
kol,sal,35,48,33,44,0.19200614429492774,7,7
shor,l,91,156,85,137,0.19184809034354922,22,18
cheo,chckhy,75,141,62,153,0.19157505535519123,16,15
shar,cthy,34,100,24,67,0.19151147930760404,6,5
sal,chcthy,48,84,44,94,0.1907645906143435,11,11
cho,chckhy,77,141,59,153,0.1898528034621158,15,15
d,qol,53,147,32,132,0.18977440404058332,11,8
ain,ody,149,38,107,24,0.1896395680075931,10,10
oky,sal,103,48,90,44,0.18958337436159572,9,8
sho,kal,118,30,124,27,0.18935701572549798,8,8
r,cthol,196,55,176,43,0.18931642286025208,13,8
kal,lor,30,38,27,39,0.18923374717096159,5,5
chdy,o,108,114,113,83,0.18859538114821373,14,12
ain,shy,149,94,107,77,0.18843831699527874,15,13
am,sar,115,77,38,48,0.18843366572035794,10,7
chol,sal,367,48,362,44,0.18805635508716645,27,23
cthy,she,100,41,67,39,0.187928499329719,6,6
cthey,sheo,47,46,50,33,0.18782637100417848,8,8
shor,chcthy,91,84,85,94,0.1877335943272391,16,15
am,qo,115,51,38,59,0.18752167304343004,7,5
shar,chl,34,33,24,28,0.1875,3,3
kal,o,30,114,27,83,0.18741784341058304,8,6
shar,qo,34,51,24,59,0.18738292224896538,6,5
ckhey,ol,32,588,32,609,0.18684176630232358,22,16
sor,sal,43,48,45,44,0.18627332086954657,7,4
char,ody,79,38,75,24,0.18578433666678973,6,6
she,key,41,33,39,36,0.18539590986372864,7,7
chey,tar,510,43,580,35,0.18528868209996316,24,16
oly,oty,65,114,33,79,0.18490006540840967,10,10
she,qol,41,147,39,132,0.1845851495962457,10,10
s,am,328,115,291,38,0.18416851447088398,22,17
oky,sheo,103,46,90,33,0.18405254345807762,7,7
am,ckhy,115,38,38,27,0.18401748249129446,4,4
ody,key,38,33,24,36,0.18394180184548975,4,4
chdy,ches,108,44,113,43,0.18354546793213894,15,15
cho,shckhy,77,55,59,64,0.1834651073341499,11,10
cthol,kar,55,58,43,47,0.18325550206507984,7,7
shar,chckhy,34,141,24,153,0.18306300648455315,10,9
ol,ckhy,588,38,609,27,0.1828902528258212,18,15
dal,shcthy,190,30,139,33,0.18270662994811013,10,9
chckhy,o,141,114,153,83,0.182673866499843,19,15
ar,shckhy,449,55,388,64,0.18260234679714382,32,28
sal,lor,48,38,44,39,0.18246608980081036,5,3
cthor,sal,45,48,42,44,0.1823226318722947,9,8
r,chckhy,196,141,176,153,0.18188958650849055,36,27
oly,ody,65,38,33,24,0.1815682598006407,6,6
shor,key,91,33,85,36,0.18128056822483168,12,11
al,chos,311,42,245,43,0.18126117889184665,20,17
ckhey,oly,32,65,32,33,0.18116432546313532,3,3
l,key,156,33,137,36,0.1808221186286952,11,11
sheo,oty,46,114,33,79,0.18033392693348643,8,7
kol,air,35,95,33,70,0.18018749253911182,9,9
kar,air,58,95,47,70,0.1801874925391118,10,10
cheo,air,75,95,62,70,0.17984576060517943,11,10
